,"(p,q)x(P,Q)",AIC
163,"(0, 3, 2, 3)",-2261.805937023926
164,"(6, 2, 0, 2)",-2261.7633993799413
165,"(0, 2, 2, 3)",-2261.0961374518974
166,"(4, 3, 3, 2)",-2261.0239254175694
167,"(3, 3, 0, 2)",-2260.9476992800455
168,"(2, 2, 2, 3)",-2260.879769195282
169,"(6, 6, 3, 3)",-2260.8186004907056
170,"(1, 5, 1, 3)",-2260.6195328167532
171,"(0, 1, 1, 2)",-2260.4978939107937
172,"(1, 3, 2, 3)",-2260.3782901392324
173,"(6, 3, 0, 2)",-2260.3610387223607
174,"(6, 0, 3, 3)",-2260.263159588405
175,"(1, 2, 2, 3)",-2260.07794124836
176,"(1, 4, 1, 2)",-2259.9244101209497
177,"(2, 2, 3, 3)",-2259.6533860375844
178,"(3, 5, 0, 2)",-2259.518423261793
179,"(2, 3, 2, 3)",-2259.1612172728874
180,"(4, 5, 3, 1)",-2258.65405011423
181,"(4, 0, 3, 1)",-2258.586099470992
182,"(0, 5, 1, 2)",-2258.3750664071263
183,"(3, 5, 1, 3)",-2258.3712510409605
184,"(2, 1, 2, 3)",-2258.2047859104105
185,"(5, 2, 1, 3)",-2258.1982430989174
186,"(0, 2, 1, 3)",-2257.911622157634
187,"(2, 5, 0, 2)",-2257.614262756219
188,"(1, 3, 3, 2)",-2257.209591520089
189,"(6, 0, 3, 1)",-2257.060987757052
190,"(4, 2, 3, 1)",-2256.766379004319
191,"(1, 1, 2, 3)",-2256.5974386327875
192,"(0, 6, 2, 3)",-2256.5483947738417
193,"(3, 4, 0, 2)",-2256.5212214365597
194,"(0, 1, 2, 2)",-2256.4607961385022
195,"(4, 5, 1, 3)",-2256.3537774382094
196,"(4, 3, 1, 3)",-2256.1165782424105
197,"(0, 1, 3, 2)",-2256.0659495659675
198,"(4, 1, 1, 3)",-2255.7787994476544
199,"(3, 1, 2, 3)",-2255.394473138687
200,"(4, 4, 3, 1)",-2255.138708612512
201,"(0, 1, 2, 3)",-2254.9053559029544
202,"(0, 3, 3, 3)",-2254.752510080719
203,"(5, 4, 3, 1)",-2254.5501956597163
204,"(1, 4, 0, 3)",-2254.515338191656
205,"(6, 1, 3, 1)",-2254.31401149172
206,"(0, 6, 3, 1)",-2253.9578693323983
207,"(6, 2, 3, 1)",-2253.7389309890414
208,"(3, 3, 1, 3)",-2253.568542583496
209,"(5, 2, 3, 1)",-2253.4419594943074
210,"(5, 6, 1, 2)",-2253.3343246397308
211,"(0, 1, 1, 3)",-2253.0822834344303
212,"(5, 6, 3, 2)",-2253.0336984650676
213,"(2, 4, 1, 3)",-2252.965924487548
214,"(3, 0, 0, 3)",-2252.805366231601
215,"(6, 3, 3, 1)",-2252.5232984273143
216,"(4, 4, 3, 3)",-2252.492688348204
217,"(5, 0, 3, 1)",-2252.4410843286287
218,"(2, 5, 1, 3)",-2252.389099147985
