,"(p,q)x(P,Q)",AIC
216,"(6, 2, 3, 1)",-2675.096775298436
217,"(3, 0, 2, 2)",-2673.3169896900267
218,"(1, 2, 3, 3)",-2673.1238385411707
219,"(6, 0, 3, 1)",-2672.963173912729
220,"(5, 5, 0, 2)",-2672.7267602575803
221,"(3, 6, 3, 2)",-2671.4855240902116
222,"(3, 3, 0, 3)",-2671.105042970985
223,"(4, 4, 0, 2)",-2670.160167354268
224,"(6, 5, 0, 2)",-2670.135018247277
225,"(6, 1, 3, 1)",-2669.720032808543
226,"(4, 3, 3, 1)",-2668.49717902393
227,"(5, 1, 3, 1)",-2668.2745505966186
228,"(6, 4, 2, 2)",-2665.8201048375463
229,"(5, 6, 0, 2)",-2665.7665390353436
230,"(2, 6, 3, 1)",-2665.323507677108
231,"(2, 2, 2, 3)",-2664.8792853985806
232,"(2, 1, 0, 3)",-2664.445228170881
233,"(7, 5, 0, 2)",-2663.740832905667
234,"(5, 4, 3, 1)",-2660.8111699368137
235,"(1, 0, 3, 3)",-2660.2356789683417
236,"(5, 0, 3, 1)",-2659.8288946810117
237,"(4, 0, 3, 1)",-2659.7676471186624
238,"(6, 7, 3, 0)",-2659.704646119314
239,"(4, 4, 3, 1)",-2659.2547940009517
240,"(0, 1, 3, 3)",-2658.6806191746055
241,"(3, 1, 3, 1)",-2658.2694771227953
242,"(3, 3, 2, 2)",-2657.9266996224505
243,"(6, 5, 2, 2)",-2657.3172151855883
244,"(4, 6, 0, 2)",-2656.5983270148863
245,"(5, 5, 3, 1)",-2656.422595995613
246,"(3, 5, 1, 2)",-2655.5960295346804
247,"(4, 5, 3, 1)",-2655.558134676468
248,"(4, 6, 3, 1)",-2655.525517629776
249,"(0, 1, 2, 3)",-2654.503202349451
250,"(2, 4, 3, 1)",-2654.19810231778
251,"(4, 4, 2, 2)",-2653.7806440262157
252,"(4, 1, 3, 1)",-2652.9799291435957
253,"(2, 0, 3, 1)",-2652.5960458762584
254,"(2, 6, 1, 2)",-2651.979854777376
255,"(3, 0, 3, 1)",-2650.4205155948985
256,"(5, 4, 2, 2)",-2650.3657808185008
257,"(3, 4, 3, 1)",-2650.0530079124883
258,"(4, 7, 3, 0)",-2649.754280700547
259,"(3, 6, 3, 1)",-2649.2603823852205
260,"(2, 5, 3, 1)",-2649.057111106419
261,"(5, 6, 3, 1)",-2649.0259351597465
262,"(5, 7, 3, 0)",-2648.3787364094796
263,"(3, 1, 3, 2)",-2648.0043694300775
264,"(1, 0, 3, 2)",-2647.810813448009
265,"(3, 5, 3, 1)",-2647.4308764393227
266,"(6, 5, 3, 2)",-2646.8244585771017
267,"(2, 7, 3, 0)",-2646.1679628794764
268,"(3, 7, 3, 0)",-2645.2379903447036
269,"(1, 0, 1, 3)",-2644.992588522316
270,"(6, 6, 3, 2)",-2644.855784610706
271,"(5, 0, 1, 2)",-2642.1775586907497
272,"(4, 0, 1, 2)",-2638.8973326514674
273,"(6, 0, 3, 2)",-2638.1531914083216
274,"(6, 1, 3, 2)",-2636.9572477002284
275,"(4, 1, 1, 2)",-2635.905331013617
276,"(6, 6, 2, 2)",-2635.469922420985
277,"(2, 3, 3, 1)",-2635.161497388385
278,"(4, 0, 3, 2)",-2633.99534332313
279,"(6, 2, 3, 2)",-2633.8708236089788
280,"(6, 3, 3, 2)",-2633.328965316391
281,"(4, 6, 3, 2)",-2631.7097875398313
282,"(5, 1, 1, 2)",-2629.31111901461
283,"(3, 0, 1, 3)",-2629.143845425323
284,"(6, 4, 0, 2)",-2627.770752481004
285,"(0, 5, 1, 2)",-2620.0529015480406
286,"(1, 0, 2, 2)",-2619.34401972448
287,"(5, 6, 2, 2)",-2618.894869738856
288,"(1, 5, 2, 2)",-2616.3805896486915
289,"(0, 3, 3, 3)",-2616.0637399512275
290,"(3, 3, 3, 1)",-2615.746169685945
291,"(2, 1, 3, 1)",-2615.666443055242
292,"(1, 1, 2, 2)",-2615.563011550995
293,"(1, 0, 0, 3)",-2614.9592232490927
294,"(4, 3, 0, 3)",-2614.377930289151
295,"(5, 6, 3, 2)",-2612.9127514775205
296,"(0, 3, 2, 2)",-2612.5399796581924
297,"(3, 2, 1, 3)",-2612.4077335509432
298,"(3, 4, 1, 2)",-2610.9969148072787
299,"(4, 3, 3, 2)",-2608.6611922688217
300,"(1, 2, 2, 3)",-2608.4688762457163
301,"(2, 0, 0, 3)",-2607.9744415632686
302,"(2, 5, 1, 2)",-2607.31733657685
303,"(2, 0, 1, 3)",-2603.921682325653
304,"(1, 6, 3, 1)",-2602.947134801015
305,"(1, 3, 3, 1)",-2602.703889282755
306,"(2, 6, 3, 2)",-2601.09380741395
307,"(0, 4, 2, 2)",-2600.0365089582874
308,"(1, 4, 3, 1)",-2598.6119694031136
309,"(6, 5, 2, 1)",-2596.7206806367813
310,"(1, 3, 1, 2)",-2596.4372761150426
311,"(3, 6, 0, 2)",-2594.6683803743827
312,"(1, 6, 1, 2)",-2594.1655469472016
313,"(2, 4, 3, 2)",-2593.432450554673
314,"(0, 6, 3, 1)",-2592.775996036262
315,"(1, 0, 2, 3)",-2591.3653638637315
316,"(7, 2, 0, 2)",-2591.1028737998704
317,"(1, 5, 1, 2)",-2590.1042309779696
318,"(3, 4, 3, 2)",-2589.83886936414
319,"(3, 5, 3, 2)",-2589.3919443655022
320,"(2, 1, 1, 2)",-2588.3744075545883
321,"(7, 3, 0, 2)",-2586.8362071945207
322,"(0, 2, 1, 2)",-2586.7859785248666
323,"(2, 5, 3, 2)",-2583.7952880587986
324,"(1, 1, 3, 1)",-2583.0866320053424
325,"(1, 5, 3, 1)",-2581.7729038144043
326,"(0, 5, 2, 2)",-2579.7058552997632
327,"(2, 4, 1, 2)",-2578.700262949972
328,"(3, 2, 2, 3)",-2577.286493771434
329,"(3, 3, 0, 2)",-2575.9653536737515
330,"(0, 6, 1, 2)",-2574.154470829332
331,"(1, 6, 0, 2)",-2573.96122301814
332,"(6, 3, 0, 2)",-2572.00881274479
333,"(2, 1, 3, 2)",-2571.902632502335
334,"(6, 2, 0, 2)",-2571.024952002411
335,"(0, 4, 3, 1)",-2569.6322059000686
336,"(0, 2, 3, 1)",-2569.541443386276
337,"(0, 5, 3, 1)",-2568.7319197338775
338,"(2, 1, 2, 2)",-2568.339374057803
339,"(7, 4, 0, 2)",-2567.9987598415482
340,"(2, 6, 0, 2)",-2567.570645940243
341,"(0, 3, 3, 1)",-2567.5417760319856
342,"(2, 3, 3, 2)",-2565.727163270248
343,"(2, 4, 0, 2)",-2564.2705999605114
344,"(5, 3, 0, 2)",-2563.607278342363
345,"(0, 2, 0, 2)",-2563.0799090956625
346,"(6, 3, 2, 1)",-2561.515777909669
347,"(1, 4, 1, 2)",-2558.978151858248
348,"(1, 3, 0, 2)",-2558.2805213052466
349,"(0, 1, 2, 2)",-2556.7913923644255
350,"(5, 3, 2, 1)",-2554.9399727554874
351,"(3, 5, 0, 2)",-2553.577644779386
352,"(1, 2, 1, 2)",-2553.0592670215933
353,"(6, 6, 2, 1)",-2552.85357236605
354,"(2, 3, 0, 2)",-2552.1800825310875
355,"(0, 6, 0, 2)",-2551.7216907141446
356,"(3, 2, 3, 1)",-2549.91048998685
357,"(2, 5, 0, 2)",-2549.5754702086197
358,"(0, 2, 2, 2)",-2548.5402148865346
359,"(0, 3, 1, 2)",-2547.952951929724
360,"(5, 3, 2, 2)",-2546.664164779975
361,"(5, 4, 2, 1)",-2545.7007922905814
362,"(1, 6, 3, 2)",-2545.4580545832478
363,"(0, 4, 1, 2)",-2544.3367983281464
364,"(5, 5, 2, 1)",-2542.7041385504945
365,"(5, 5, 2, 2)",-2542.563818337084
366,"(4, 6, 2, 1)",-2541.5724535099503
367,"(1, 4, 3, 2)",-2539.1368979309627
368,"(0, 1, 3, 1)",-2537.6823070882883
369,"(4, 3, 1, 2)",-2537.459727085165
370,"(4, 6, 2, 2)",-2536.529807029893
371,"(0, 5, 0, 2)",-2535.4852229002977
372,"(3, 5, 2, 1)",-2532.3895491655985
373,"(2, 0, 1, 2)",-2532.2311897321624
374,"(1, 5, 3, 2)",-2530.2338090530825
375,"(4, 4, 2, 1)",-2528.3546128988737
376,"(6, 3, 2, 2)",-2526.190664091747
377,"(0, 6, 3, 2)",-2526.1289219849004
378,"(6, 4, 2, 1)",-2525.115897762031
379,"(7, 1, 0, 2)",-2524.4415279091704
380,"(3, 1, 1, 2)",-2524.322150126846
381,"(0, 6, 2, 2)",-2524.240288544879
382,"(1, 7, 3, 0)",-2523.7617514646727
383,"(5, 6, 2, 1)",-2523.2001088987645
384,"(0, 6, 2, 1)",-2522.4870062990694
385,"(6, 0, 0, 2)",-2520.5568725766607
386,"(4, 3, 0, 2)",-2520.2966267978545
387,"(6, 2, 2, 1)",-2519.9152718611967
388,"(5, 0, 0, 2)",-2519.7208615542804
389,"(1, 1, 3, 2)",-2518.830394161769
390,"(4, 5, 2, 1)",-2518.5326084165035
391,"(4, 0, 0, 2)",-2517.1873041316585
392,"(7, 0, 0, 2)",-2516.5773999959333
393,"(6, 1, 0, 2)",-2515.536215531566
394,"(3, 0, 1, 2)",-2515.2062621804575
395,"(6, 1, 2, 1)",-2515.0854716923077
396,"(0, 0, 3, 2)",-2514.248099392515
397,"(2, 2, 1, 2)",-2514.014843389543
398,"(1, 5, 0, 2)",-2513.9283383023276
399,"(4, 1, 0, 2)",-2512.7359572604946
400,"(4, 3, 2, 1)",-2512.39738592103
401,"(5, 1, 0, 2)",-2511.801317650771
402,"(3, 6, 2, 2)",-2510.7954219852263
403,"(3, 4, 2, 1)",-2509.7959149529306
404,"(1, 2, 3, 1)",-2508.3330818186105
405,"(0, 0, 0, 3)",-2507.3611588022336
406,"(0, 2, 3, 2)",-2506.254581031313
407,"(3, 5, 2, 2)",-2506.105911182147
408,"(0, 3, 3, 2)",-2505.819949390507
409,"(3, 4, 0, 2)",-2505.709972224631
410,"(0, 5, 3, 2)",-2503.941862376868
411,"(3, 2, 1, 2)",-2502.5925635130416
412,"(0, 4, 3, 2)",-2502.2547469711476
413,"(2, 5, 2, 1)",-2502.1990924321567
414,"(6, 0, 2, 1)",-2501.681980629135
415,"(1, 1, 1, 2)",-2501.493432677554
416,"(1, 0, 3, 1)",-2500.081608547717
417,"(4, 0, 2, 1)",-2499.9828255933553
418,"(0, 1, 1, 2)",-2499.1827367510723
419,"(5, 1, 2, 1)",-2497.9349441983227
420,"(0, 3, 0, 2)",-2497.483914141052
421,"(5, 0, 2, 1)",-2494.994040629407
422,"(6, 7, 2, 0)",-2494.98312967294
423,"(4, 1, 2, 1)",-2494.2757060422327
424,"(0, 0, 1, 3)",-2492.6545417308694
425,"(4, 7, 2, 0)",-2490.373777634184
426,"(1, 4, 0, 2)",-2489.573672151979
427,"(2, 2, 3, 1)",-2488.1742880604525
428,"(0, 4, 0, 2)",-2487.353256668084
429,"(0, 1, 0, 2)",-2487.0982735306698
430,"(2, 2, 1, 3)",-2487.084060461417
431,"(1, 1, 0, 2)",-2486.7198048427176
432,"(2, 1, 0, 2)",-2486.1127036799153
433,"(5, 7, 2, 0)",-2484.659109172344
434,"(2, 6, 2, 1)",-2484.3858109220246
435,"(2, 4, 2, 1)",-2484.1323764289023
436,"(3, 6, 2, 1)",-2483.024972063355
437,"(3, 1, 2, 1)",-2482.9936402532035
438,"(2, 0, 0, 2)",-2482.500774757418
439,"(3, 1, 0, 2)",-2481.0247780156615
440,"(3, 0, 0, 2)",-2480.523106081566
441,"(1, 6, 2, 1)",-2478.5963808748156
442,"(6, 1, 2, 2)",-2478.5712970193226
443,"(1, 3, 2, 1)",-2478.1612364861485
444,"(6, 2, 2, 2)",-2477.7899087491764
445,"(1, 4, 2, 1)",-2477.7585068696862
446,"(1, 4, 2, 2)",-2477.534826810165
447,"(2, 3, 2, 1)",-2477.5154997516647
448,"(0, 3, 2, 1)",-2476.1745044787745
449,"(0, 1, 3, 2)",-2476.1496870999267
450,"(2, 1, 2, 1)",-2476.128875163108
451,"(1, 5, 2, 1)",-2474.1217700109232
452,"(3, 7, 2, 0)",-2473.8606071071767
453,"(0, 4, 2, 1)",-2473.793170043681
454,"(0, 2, 2, 1)",-2473.5170253999204
455,"(0, 5, 2, 1)",-2472.095696279266
456,"(1, 1, 2, 1)",-2471.373320219428
457,"(1, 6, 2, 2)",-2468.3988333553452
458,"(6, 3, 1, 2)",-2468.339562695268
459,"(1, 0, 1, 2)",-2467.5071433758103
460,"(2, 7, 2, 0)",-2466.652249903311
461,"(2, 0, 2, 1)",-2463.8998759095043
462,"(3, 0, 2, 1)",-2463.2776540598175
463,"(1, 2, 1, 3)",-2460.294826955158
464,"(2, 3, 1, 2)",-2459.938351055879
465,"(3, 3, 2, 1)",-2458.668661060414
466,"(6, 0, 2, 2)",-2458.4528195574935
467,"(0, 1, 2, 1)",-2457.630581795599
468,"(3, 3, 1, 2)",-2448.2609528938683
469,"(2, 3, 2, 2)",-2447.7472867938986
470,"(6, 3, 1, 1)",-2444.944478268013
471,"(2, 5, 2, 2)",-2438.5076317751036
472,"(1, 2, 3, 2)",-2437.0625713240197
473,"(2, 2, 0, 3)",-2434.713813310751
474,"(4, 3, 1, 1)",-2432.129570829476
475,"(1, 2, 2, 1)",-2429.2809970685576
476,"(6, 4, 1, 1)",-2428.864670760936
477,"(6, 5, 1, 1)",-2427.0799824477676
478,"(1, 7, 2, 0)",-2424.4236696546623
479,"(1, 0, 0, 2)",-2419.6225681749693
480,"(6, 6, 1, 1)",-2419.5310136184444
481,"(2, 2, 2, 1)",-2415.081250714804
482,"(0, 0, 3, 3)",-2407.8351814726593
483,"(5, 3, 1, 1)",-2402.9411802490595
484,"(0, 0, 2, 2)",-2397.2971263177265
485,"(3, 4, 1, 1)",-2395.4828245468107
486,"(4, 4, 1, 1)",-2393.5774410448375
487,"(5, 4, 1, 1)",-2389.831138942989
488,"(1, 0, 2, 1)",-2389.2955242993285
489,"(1, 2, 0, 2)",-2387.0394136341865
490,"(6, 0, 1, 1)",-2383.6388190699013
491,"(6, 2, 1, 1)",-2383.308239030829
492,"(6, 1, 1, 1)",-2381.020141617598
493,"(5, 6, 1, 1)",-2373.615547916055
494,"(6, 7, 1, 0)",-2373.035045129136
495,"(6, 3, 3, 0)",-2372.2985423321497
496,"(5, 3, 3, 0)",-2369.4352208587957
497,"(1, 2, 2, 2)",-2368.585517074591
498,"(5, 5, 1, 1)",-2355.7708239205294
499,"(3, 2, 2, 2)",-2353.0198038520048
500,"(4, 5, 1, 1)",-2352.5858778266847
501,"(4, 6, 1, 1)",-2350.165370599785
502,"(6, 4, 3, 0)",-2348.9410230388166
503,"(7, 6, 0, 1)",-2345.5342550975574
504,"(4, 3, 3, 0)",-2343.092771217859
505,"(5, 0, 1, 1)",-2342.4436185985005
506,"(4, 1, 1, 1)",-2339.7227329447314
507,"(6, 5, 3, 0)",-2338.903074715655
508,"(4, 0, 1, 1)",-2337.208727065661
509,"(0, 6, 3, 0)",-2336.5562686215662
510,"(3, 2, 0, 3)",-2335.934799325673
511,"(3, 5, 1, 1)",-2333.655146632735
512,"(6, 6, 3, 0)",-2333.3323829515793
513,"(4, 7, 1, 0)",-2333.1348554563583
514,"(7, 5, 0, 1)",-2332.4460442780664
515,"(5, 1, 1, 1)",-2330.2726738662045
516,"(7, 4, 0, 1)",-2329.727796767286
517,"(5, 7, 1, 0)",-2329.1800140259347
518,"(0, 6, 1, 1)",-2317.672390630916
519,"(2, 2, 2, 2)",-2317.160052469011
520,"(0, 0, 2, 3)",-2313.774599134863
521,"(6, 4, 0, 1)",-2308.8233127963886
522,"(3, 2, 0, 2)",-2307.6940990354315
523,"(0, 6, 0, 1)",-2306.0183486661754
524,"(5, 6, 3, 0)",-2305.6979461044402
525,"(2, 2, 0, 2)",-2302.859727193711
526,"(5, 3, 0, 1)",-2300.2589441555006
527,"(2, 1, 3, 0)",-2295.753245830788
528,"(6, 6, 0, 1)",-2293.25435097725
529,"(2, 6, 3, 0)",-2292.4438105373474
530,"(6, 0, 3, 0)",-2289.843108733122
531,"(2, 4, 3, 0)",-2288.8757192090925
532,"(3, 6, 3, 0)",-2288.6065683844554
533,"(5, 0, 3, 0)",-2287.9034449356286
534,"(4, 4, 3, 0)",-2287.60028971488
535,"(1, 5, 3, 0)",-2287.373105080828
536,"(7, 1, 0, 1)",-2286.215678938874
537,"(1, 6, 3, 0)",-2286.167627374664
538,"(4, 0, 3, 0)",-2285.5785810044936
539,"(3, 4, 3, 0)",-2284.591876642747
540,"(5, 4, 3, 0)",-2284.3740235622845
541,"(2, 5, 3, 0)",-2284.088306833937
542,"(6, 1, 3, 0)",-2283.3586942584984
543,"(5, 5, 3, 0)",-2283.0321386417527
